Title,Rating,Votes,Duration,Storyline,content
Nothing Even Matters,5.9, (108),1h 53m,"Paroled after five years for a victimless crime, Travis is taken in by Benny, and her mother; their generosity turns into a life of crime and murder.",nothing even matter paroled five year victimless crime travis taken benny mother generosity turn life crime murder
A Clockwork Shining: Kubrick's Odyssey 3,5.5, (103),1h 49m,Stanley Kubrick's The Shining is one of the most discussed films in Cinema History. What is it really about? A Clockwork Shining puts forth the idea that the film is really about Mind Control and how we are manipulated by larger forces.,clockwork shining kubrick odyssey stanley kubrick shining one discussed film cinema history really clockwork shining put forth idea film really mind control manipulated larger force
Little Jaffna,6.5, (334),1h 40m,"In Paris's Little Jaffna district, a Tamil neighborhood, rookie cop Michael goes undercover to expose a criminal gang linked to Sri Lankan separatists through extortion and money laundering.",little jaffna paris little jaffna district tamil neighborhood rookie cop michael go undercover expose criminal gang linked sri lankan separatist extortion money laundering
Proslava,5.9, (227),1h 26m,"A young Croatian villager's innocence is shattered by the harsh realities of war, deprivation, and political turmoil between 1926 and 1945, leading him down a dark path.",proslava young croatian villager innocence shattered harsh reality war deprivation political turmoil leading dark path
"Nanay, tatay",7.0, (82),2h,"Three orphans escape captivity, get adopted by grieving parents who lost their demonically possessed daughter. The possessed daughter hunts the orphans, forcing them to commit crimes. Multiple deaths occur, including the parents.",nanay tatay three orphan escape captivity get adopted grieving parent lost demonically possessed daughter possessed daughter hunt orphan forcing commit crime multiple death occur including parent
Game of Death: The Six Doors to Hell,7.1, (18),1h 43m,"Set in a bleak future in which the world suffocates under the iron fist of a tyrannical regime. Driven by unyielding determination, Ken Shiro sets out on a perilous mission to find the gate to Hell and save his daughter from the Inferno.",game death six door hell set bleak future world suffocates iron fist tyrannical regime driven unyielding determination ken shiro set perilous mission find gate hell save daughter inferno
Ulysses,8.3, (14),9h 47m,"Ruslyk, the president's personal film director, tries to save the world while battling mental illness. During his one-day odyssey through the city of Minsk he encounters doctors, politicians, propagandists, artists, drunks and lowlifes.",ulysses ruslyk president personal film director try save world battling mental illness oneday odyssey city minsk encounter doctor politician propagandist artist drunk lowlife
RapeD,7.0, (32),1h 45m,"Based on crime investigation. Story starts as serial rape and murder case investigation but, later on A.C.P. got to know there is involvement of drugs.",raped based crime investigation story start serial rape murder case investigation later acp got know involvement drug
Moments We Shared,5.4, (192),2h 11m,"Liu Shi San, a city graduate, faces challenges in love and career. Returning to his hometown with his grandmother, he decides to renovate her canteen to pursue city dreams, encountering obstacles that reshape his priorities.",moment shared liu shi san city graduate face challenge love career returning hometown grandmother decides renovate canteen pursue city dream encountering obstacle reshape priority
Momma's Boy,3.7, (50),1h 45m,Dave faces adulthood challenges while his codependent bond with his mother hinders his personal growth.,momma boy dave face adulthood challenge codependent bond mother hinders personal growth
