Title,Rating,Votes,Duration,Storyline,content
The Monster Beneath Us,4.8, (550),1h 43m,"Yorkshire, 1898. A grieving woman and her son move back to the unoccupied house of her ex husband, recently found dead, but they discover that they are not alone inside the house.",monster beneath u yorkshire grieving woman son move back unoccupied house ex husband recently found dead discover alone inside house
A Game in the Woods,5.1, (94),1h 20m,"After a Texas rancher dies, his granddaughter and her girlfriend discover masked hunters at his ranch competing in a twisted game of life and death. Will the beauties and their already rocky romance survive the brutal carnage?",game wood texas rancher dy granddaughter girlfriend discover masked hunter ranch competing twisted game life death beauty already rocky romance survive brutal carnage
Blocking the Horse,6.0, (97),1h 34m,"Two sisters recover their late father's golden blade from enemy territory, joining forces with their father's former soldier to defend against attacks during their return journey.",blocking horse two sister recover late father golden blade enemy territory joining force father former soldier defend attack return journey
Valari,7.9, (2.6K),2h 15m,"A possessed 13-year-old girl commits a horrific act, burying a secret. Years later, she returns to the village with her family, unaware of the looming vengeance from the past.",valari possessed girl commits horrific act burying secret year later return village family unaware looming vengeance past
Nemlizade,4.7, (577),1h 40m,"Unable to marry his lover Keriman due to poverty, Onur becomes the neighborhood headman after his uncle is paralyzed. Despite locals' disapproval, Onur and his friends strive to retain the position.",nemlizade unable marry lover keriman due poverty onur becomes neighborhood headman uncle paralyzed despite local disapproval onur friend strive retain position
Happy Halloween,6.4, (34),1h 36m,"A small midwestern town is celebrating its 300th birthday with festivities including a Halloween dance and corn maze. The previous All Hallow's Eve, Hadley Briggs survived a brutal attack by her ex-boyfriend which put him in prison. But now a new series of slayings has started with the masked perpetrator making grisly decorations out of their victims' body parts.",happy halloween small midwestern town celebrating birthday festivity including halloween dance corn maze previous hallows eve hadley briggs survived brutal attack exboyfriend put prison new series slaying started masked perpetrator making grisly decoration victim body part
Holy Cash,5.4, (80),1h 34m,"Follows con artists Pablo and Guero as they exploit an ex-convict preacher, ""Willy Dollars,"" to create a successful religious show. However, their scheme draws the attention of a mafia boss, Chato, who demands Pablo cure his ill daughter.",holy cash follows con artist pablo guero exploit exconvict preacher willy dollar create successful religious show however scheme draw attention mafia bos chato demand pablo cure ill daughter
Black Heat,5.0, (214),1h 33m,"One night, two parents, out of options, infiltrate a top level drug dealer/pimp's apartment complex to rescue their teenage daughter.",black heat one night two parent option infiltrate top level drug dealerpimps apartment complex rescue teenage daughter
Four.,5.5, (24),1h 38m,A small-town couple with big dreams of making their family complete must persevere through infertility and tragedy,four smalltown couple big dream making family complete must persevere infertility tragedy
Norman's Rare Guitars Documentary,7.7, (329),1h 38m,"This world-renowned institution is where legends jam, and find inspiration. This documentary chronicles the shop's unique spirit, as Norman Harris, its beloved founder, faces retirement, marking a turning point for this cultural haven.",norman rare guitar documentary worldrenowned institution legend jam find inspiration documentary chronicle shop unique spirit norman harris beloved founder face retirement marking turning point cultural
My Dear Donga,5.8, (189),2h 12m,"A small time thief enters the apartment of a girl who is independent, sincere and is in a relation with a doctor going through identity crisis makes her feel alive. The rest of story is all about how she handles the crisis.",dear donga small time thief enters apartment girl independent sincere relation doctor going identity crisis make feel alive rest story handle crisis
Dream Team,4.6, (96),1h 31m,"In this absurdist homage to 90's basic cable TV thrillers, two hot INTERPOL agents uncover an international, interspecies mystery. A post-modern, soft-core fever dream.",dream team absurdist homage basic cable tv thriller two hot interpol agent uncover international interspecies mystery postmodern softcore fever dream
Sana: Let Me Hear,5.4, (139),2h 5m,"One summer vacation. Five men and women take supplementary classes. In this classroom, there is a student who is not supposed to be there.",sana let hear one summer vacation five men woman take supplementary class classroom student supposed
Election,5.8, (816),2h,"Nadarasan, uninterested in politics, runs for panchayat leader to honor his father. As he delves into the murky world of election politics, he faces violence, rivalry, and betrayals.",election nadarasan uninterested politics run panchayat leader honor father delf murky world election politics face violence rivalry betrayal
Skinny Love,6.9, (472),1h 34m,"When Emilý learns that her long-distance girlfriend wants to move to Iceland and make their open relationship exclusive, she must face her anxieties about the future.",skinny love emil learns longdistance girlfriend want move iceland make open relationship exclusive must face anxiety future
Fasal,6.7, (264),1h 30m,A farmer's story highlighting the challenges and hardships he faces while navigating the market value of his crops.,fasal farmer story highlighting challenge hardship face navigating market value crop
Samia: Little Dreamer,6.8, (263),1h 42m,Follows an assertive young woman as she fights to become an Olympic athlete.,samia little dreamer follows assertive young woman fight become olympic athlete
Tenement,4.5, (230),1h 28m,"Soriya goes back to Cambodia in a quest to find herself after her mother's death, there she finds a family she has never known and an old building full of dark secrets.",tenement soriya go back cambodia quest find mother death find family never known old building full dark secret
Soda,7.0, (107),1h 36m,"In 1956, a seamstress arrives in a Holocaust survivor community. Rumors surface about her past as Capo. Shalom, resistance fighter, torn between attraction and duty to expose her history. Community tensions rise over her true identity.",soda seamstress arrives holocaust survivor community rumor surface past capo shalom resistance fighter torn attraction duty expose history community tension rise true identity
Samandar,7.5, (147),2h 52m,"Brothers Uday and Salman join fisheries mafia under ex-MLA Arjan Parmar. They target Imtiaz Memon, tied to Uday's sister's demise. Power struggle, betrayal, and politics strain their bond as revenge and fisheries mafia intersect.",samandar brother uday salman join fishery mafia exmla arjan parmar target imtiaz memon tied udays sister demise power struggle betrayal politics strain bond revenge fishery mafia intersect
Bad Actor: A Hollywood Ponzi Scheme,5.4, (269),1h 27m,"Zachary Horwitz's desperate attempt to become a movie star led him down a path of deception and fraud, seduced by the allure of fame and wealth.",bad actor hollywood ponzi scheme zachary horwitzs desperate attempt become movie star led path deception fraud seduced allure fame wealth
He Sees You When You're Sleeping,4.2, (286),1h 23m,Chester returns to his home after witnessing his parents' murders 17 years ago by a killer dressed as Santa. A new Santa killer begins killing his relatives. Chester questions if the killer returned or if a more terrifying truth exists.,see sleeping chester return home witnessing parent murder year ago killer dressed santa new santa killer begin killing relative chester question killer returned terrifying truth exists
Ask.,5.9, (153),1h 29m,"Chris Vander Kaay, a YouTuber in his mid-40s, takes a mysterious coach's advice to be brutally honest with his audience. His channel and life improve, but unforeseen darker consequences soon begin to unfold.",ask chris vander kaay youtuber take mysterious coach advice brutally honest audience channel life improve unforeseen darker consequence soon begin unfold
Visiting Hours,5.8, (548),1h 48m,The wives of two inmates serving time in the same penitentiary develop a surprising kinship.,visiting hour wife two inmate serving time penitentiary develop surprising kinship
Great Pretender: Razbliuto,6.1, (275),1h 29m,"Presumed dead, master con artist and recovering amnesiac Dorothy is discovered by Shanghai Longu-bang, a mob who wants payback for her conning them.",great pretender razbliuto presumed dead master con artist recovering amnesiac dorothy discovered shanghai longubang mob want payback conning
Water Brother,9.1, (47),1h 28m,"'Water Brother' is a feature documentary that follows the life of Sid Abbruzzi, an East Coast legend and culture icon.",water brother water brother feature documentary follows life sid abbruzzi east coast legend culture icon
Kidnapping Inc.,5.7, (413),1h 47m,"Doc and Zoe are two hapless kidnappers tasked with what appears to be a simple abduction for hire, only to find out that it's anything but and end up in the middle of a political conspiracy.",kidnapping inc doc zoe two hapless kidnapper tasked appears simple abduction hire find anything end middle political conspiracy
Udvegam (The First Case of),8.3, (1.6K),2h 15m,Law and Justice are not always the same,udvegam first case law justice always
Athhoi,7.1, (306),2h 38m,"A contemporary retelling of Shakespeare's timeless tragedy Othello, exploring the intricacies of human emotions and the consequences of unchecked manipulation, all within a modern context.",athhoi contemporary retelling shakespeare timeless tragedy othello exploring intricacy human emotion consequence unchecked manipulation within modern context
"Love, Sitara",5.2, (334),1h 45m,"A love story between a Malayali girl and a Punjabi chef, complicated by the family members on each side.",love sitara love story malayali girl punjabi chef complicated family member side
Sector 17,5.4, (1.3K),2h 26m,"Pargat, son of Gurdit Singh, seeks justice against Tundilaat, who killed his father and stole their land. With the help of Rani and her aunt Balviro, Pargat dismantles Tundilaat's empire, ultimately restoring his family's honor.",sector pargat son gurdit singh seek justice tundilaat killed father stole land help rani aunt balviro pargat dismantles tundilaats empire ultimately restoring family honor
Chhatrapati Sambhaji,5.3, (244),3h 6m,"Chhatrapati Sambhaji Maharaj, son of Shivaji Maharaj, who grew up without parental love. Sambhaji proved himself a fearless and brave ruler, winning battles and instilling fear in the Mughal Empire.",chhatrapati sambhaji chhatrapati sambhaji maharaj son shivaji maharaj grew without parental love sambhaji proved fearless brave ruler winning battle instilling fear mughal empire
Dosa Musyrik,6.5, (19),1h 32m,"Things that are forbidden by religion and hated by God, and are related to the supernatural world and invisible creatures.",dosa musyrik thing forbidden religion hated god related supernatural world invisible creature
El instinto,6.2, (180),1h 32m,A home invasion thriller starring a dog trainer trying to modify a human's brain.,el instinto home invasion thriller starring dog trainer trying modify human brain
Secret Lives of Orangutans,7.2, (626),1h 18m,Follow a multi-generational orangutan family through their treetop triumphs and travails in this immersive documentary narrated by David Attenborough.,secret life orangutan follow multigenerational orangutan family treetop triumph travail immersive documentary narrated david attenborough
Chosen One: Alexandre Daigle,7.1, (185),48m,A documentary about Alexandre Daigle.,chosen one alexandre daigle documentary alexandre daigle
Le choix,5.8, (276),1h 16m,"Joseph Cross, a construction manager, drops everything to rush from the distant suburbs to a hospital. During the journey, Joseph tries to resolve emergency by telephone.",le choix joseph cross construction manager drop everything rush distant suburb hospital journey joseph try resolve emergency telephone
Takedown,3.4, (72),1h 14m,A troubled teen struggles to balance between life in wrestling and his love for the arts.,takedown troubled teen struggle balance life wrestling love art
Paper Marriage,7.5, (56),1h 31m,"A desperate Chinese immigrant and a wayward American strike a marriage pact, navigating around each other to grow a connection for a green card.",paper marriage desperate chinese immigrant wayward american strike marriage pact navigating around grow connection green card
Blended Christmas,6.5, (116),1h 23m,"A newlywed bride's honeymoon plans get derailed when she takes in her husband's ex-wife and kids, with an angel's guidance helping them become a family.",blended christmas newlywed bride honeymoon plan get derailed take husband exwife kid angel guidance helping become family
Forgive Me Father,3.1, (149),1h 17m,"When a number of mutilated bodies are discovered in a mansion, seasoned Detective Taylor is charged with finding the killer. An unlikely suspect reveals that some secrets are taken to the grave and some secrets take us to the grave",forgive father number mutilated body discovered mansion seasoned detective taylor charged finding killer unlikely suspect reveals secret taken grave secret take u grave
Alpha.,6.7, (440),1h 40m,"Rein, snowboard teacher, works in the Alps. Receives a visit from his father Gijs from the Netherlands. The two venture into the snow-capped mountains where they clash both with each other and with the merciless nature that surrounds them.",alpha rein snowboard teacher work alp receives visit father gijs netherlands two venture snowcapped mountain clash merciless nature surround
Billie Eilish: Unfiltered,3.7, (110),45m,"Billie Eilish's unconventional style and unique sound have made her a cultural icon, with her music reaching millions worldwide and filling stadiums, establishing her as a top artist.",billie eilish unfiltered billie eilishs unconventional style unique sound made cultural icon music reaching million worldwide filling stadium establishing top artist
Huntress,3.1, (104),1h 17m,"In the grim final days of WWII, German soldiers and civilians will do anything to survive. An army medical team is on the run, trapped behind enemy lines as they are hunted by a vicious killer bent on their total annihilation.",huntress grim final day wwii german soldier civilian anything survive army medical team run trapped behind enemy line hunted vicious killer bent total annihilation
Protocol,5.2, (286),1h 38m,"With the catastrophic regression of her adopted son, Lexi, a small-town lawyer, is confronted with the reality of corporate fraud at the highest level. Will she hold a massive corporation accountable in this true whistleblower story?",protocol catastrophic regression adopted son lexi smalltown lawyer confronted reality corporate fraud highest level hold massive corporation accountable true whistleblower story
Three,6.2, (202),1h 33m,"A young boy's mental health crisis prompts his desperate mother to seek help from an unexpected source-a man who must abandon his Western mindset and embrace a powerful, ancient ritual to save her son.",three young boy mental health crisis prompt desperate mother seek help unexpected sourcea man must abandon western mindset embrace powerful ancient ritual save son
Sex Is Comedy: The Revolution of Intimacy Coordinators,8.4, (7),55m,"A fascinating insight into the role of the intimacy coordinator, told through behind-the-scenes access to new queer French TV show Split.",sex comedy revolution intimacy coordinator fascinating insight role intimacy coordinator told behindthescenes access new queer french tv show split
Caracas,5.7, (465),1h 50m,"A well-known Neapolitan writer returns to his hometown after a long absence and encounters an old friend known as Caracas. Caracas, once a neo-fascist skinhead, is now converting to Islam.",caracas wellknown neapolitan writer return hometown long absence encounter old friend known caracas caracas neofascist skinhead converting islam
Nyhterinos ekfonitis,6.8, (619),1h 14m,"A veteran late-night radio announcer has a show on the night he turns fifty. Realizing with embarrassment that he is no longer one of the young, he unravels his life and searches for an unrequited love.",nyhterinos ekfonitis veteran latenight radio announcer show night turn fifty realizing embarrassment longer one young unravels life search unrequited love
Andamooka,5.6, (27),1h 25m,A city woman's life falls apart just before she turns 30 so she heads to the outback on a quest to spend her 30th with her best friend in tiny opal mining town Andamooka.,andamooka city woman life fall apart turn head outback quest spend best friend tiny opal mining town andamooka
Son of a Rich 2,5.7, (1.3K),1h 54m,"Grisha, a former spoiled brat, who was a serf and became a man, after a trip to the ""past"" is sensitive to any injustice. And, of course, he cannot get past the lawlessness that the impudent and spoiled Katya creates. It is not surprising that soon spoiled girl finds itself in a different time.",son rich grisha former spoiled brat serf became man trip past sensitive injustice course get past lawlessness impudent spoiled katya creates surprising soon spoiled girl find different time
Hearts of Bali,5.1, (553),1h 53m,"After the death of her Eurasian grandmother, Jenny convinces her mother and sister to come along to Bali to unravel their family background so they can find happiness in their family and love life.",heart bali death eurasian grandmother jenny convinces mother sister come along bali unravel family background find happiness family love life
My Friend an Delie,6.5, (135),1h 51m,"Li Mo and Andre, who have different personalities, became close friends because of football, an accident caused Andre to disappear from Li Mo's memory along with his youth. Years later, Li Mo ""meet"" Andre on his way to father's funeral.",friend delie li mo andre different personality became close friend football accident caused andre disappear li mo memory along youth year later li mo meet andre way father funeral
Union,7.1, (407),1h 40m,A group of current and former Amazon workers in New York City's Staten Island challenges one of the world's largest companies in a unionization battle.,union group current former amazon worker new york city staten island challenge one world largest company unionization battle
The Legend of Catclaws Mountain,3.3, (210),1h 44m,"Mindy, a girl, searches for her magical lost pony believed to lead to treasures on Catclaws Mountain. With friends, she uncovers life-changing secrets during this daring quest.",legend catclaw mountain mindy girl search magical lost pony believed lead treasure catclaw mountain friend uncovers lifechanging secret daring quest
Transilvanian Ninja,4.7, (174),1h 30m,Two peasants oppressed by the village's bullies want to learn martial arts to defend themselves.,transilvanian ninja two peasant oppressed village bully want learn martial art defend
Children of the Wicker Man,7.0, (45),1h 32m,"50 years on from the making of The Wicker Man (1973), director Robin Hardy's lost papers come to filmmaker son Justin. Enlisting his brother Dominic, they journey to discover the complex nature of independent filmmaking and fatherhood.",child wicker man year making wicker man director robin hardy lost paper come filmmaker son justin enlisting brother dominic journey discover complex nature independent filmmaking fatherhood
Child Star,6.5, (1.5K),1h 38m,"Examine how some of the most well-known former child stars, such as Lovato, deconstruct the highs and lows of growing up in the spotlight and how their ascension to fame, riches, and power affects their futures.",child star examine wellknown former child star lovato deconstruct high low growing spotlight ascension fame rich power affect future
Elevation,8.8, (70),1h 30m,The coach and his trainee are on the edge of the ski jump during the intense period of preparation for a new height.,elevation coach trainee edge ski jump intense period preparation new height
The Blade Cuts Deeper,4.6, (128),1h 23m,Follows a narcissistic TV host who becomes trapped in his own nightmare of televised cruelty and revenge. Content has consequences.,blade cut deeper follows narcissistic tv host becomes trapped nightmare televised cruelty revenge content consequence
In Tenebras: Into the Darkness,2.3, (241),1h 30m,Two brothers embark on an adventure of a lifetime -a journey deep inside the WW2 tunnels of Gibraltar to find a lost treasure. Complications arise and what started off as an adventure will end up as a life or death situation to survive.,tenebras darkness two brother embark adventure lifetime journey deep inside tunnel gibraltar find lost treasure complication arise started adventure end life death situation survive
Saturn,7.2, (35),1h 40m,"When a mysterious planet appears in the sky, a young father must choose between the life he loves and an ancient call to save the world.",saturn mysterious planet appears sky young father must choose life love ancient call save world
Busted Babies,6.1, (30),1h 27m,"A secret of turning flesh into glass breaks down _____'s reality when she trips in the BBQ Salon, busting rusting immortal goop onto the faces of herself, Movie Star, and Character Name. Blasts party murder of self inflicting wads of death are in the agenda after a green amulet confusion, forever, until the wood chipper reveals the dusty trick. But who are these men with Gartan Galtar and why do they dance so preciously?",busted baby secret turning flesh glass break reality trip bbq salon busting rusting immortal goop onto face movie star character name blast party murder self inflicting wad death agenda green amulet confusion forever wood chipper reveals dusty trick men gartan galtar dance preciously
Maybe Baby 2,5.7, (668),1h 45m,Two couples discover their kids aren't swapped at the fertility clinic. They decide to cohabitate and jointly raise their respective biological children despite the initial mix-up.,maybe baby two couple discover kid swapped fertility clinic decide cohabitate jointly raise respective biological child despite initial mixup
The Unseen Lecturer: It's Nighttime or You Already Know,4.1, (375),1h 34m,Four students had to take a short semester while other students were on holiday. At first these students were not suspicious during class.,unseen lecturer nighttime already know four student take short semester student holiday first student suspicious class
Delicate Arch,3.8, (139),1h 25m,"Four college kids with fracturing relationships take a camping trip in order to escape an ecological disaster. Alone in the desert, they begin to suspect that their reality might not be as it seems, and soon realize they're being watched.",delicate arch four college kid fracturing relationship take camping trip order escape ecological disaster alone desert begin suspect reality might seems soon realize watched
Renee Gracie: Fireproof,6.2, (358),1h 40m,Australia's first female V8-Star Renee Gracie attempts to re-enter racing after being pushed out of the sport and becoming Australia's top earner on OnlyFans.,renee gracie fireproof australia first female renee gracie attempt reenter racing pushed sport becoming australia top earner onlyfans
Guðaveigar,5.7, (73),1h 36m,"The story of a group of Icelandic priests sent on a mission to find quality sacramental wine, only to miss a series of miraculous events, including the Second Coming of Christ.",guaveigar story group icelandic priest sent mission find quality sacramental wine miss series miraculous event including second coming christ
Speed 220,7.6, (2K),1h 54m,There are two very good friends who become sworn enemies because of a girl. Will they become friends again?,speed two good friend become sworn enemy girl become friend
Sugar Mami,7.5, (82),1h,"Giovanni and his wife, Vanessa are the perfect couple. That is until one day when Giovanni meets a beautiful woman named Mia who starts obsessing over him, and things slowly take a turn for the worse.",sugar mami giovanni wife vanessa perfect couple one day giovanni meet beautiful woman named mia start obsessing thing slowly take turn worse
Schindler Space Architect,7.0, (30),1h 33m,"Architect R.M. Schindler's life story (1887-1953) unfolds in parallel with that of Modern Architecture. The film follows his journey from Vienna through Chicago to Southern California, observing where possible through the lens of his own camera or listening to his own words. The story is told through narration, interviews, Schindler's theoretical writings, correspondence, photos, renderings, archival and new footage of many of his buildings.",schindler space architect architect rm schindlers life story unfolds parallel modern architecture film follows journey vienna chicago southern california observing possible lens camera listening word story told narration interview schindlers theoretical writing correspondence photo rendering archival new footage many building
Weapon,5.5, (8.2K),2h,"Agni a YouTuber who is a dedicated environmentalist is searching for a superhuman (Mithran), to shoot and add as content for his channel. The journey is full of twists and turns as he is not the only one searching for him.",weapon agni youtuber dedicated environmentalist searching superhuman mithran shoot add content channel journey full twist turn one searching
Ouija Castle,3.3, (181),1h 38m,"Princess Thalia's life is cast into shambles after her father's death. Queen Velma casts her into a never-ending sleep to take over the kingdom, but her actions unravel an array of consequences.",ouija castle princess thalia life cast shamble father death queen velma cast neverending sleep take kingdom action unravel array consequence
Texas Twister,2.5, (186),1h 28m,A small town worker believes he's seeing visions from God in the form of a violent tornado.,texas twister small town worker belief seeing vision god form violent tornado
When Fucking Spring Is in the Air,6.2, (261),1h 52m,"It is a feel-good road movie about 17-year-old rebellious Kasia, and her worthless family.",fucking spring air feelgood road movie rebellious kasia worthless family
I Hate Summer,5.2, (805),1h 43m,"Comedy about three couples who unknowingly book the same house for their family vacation, turning summer into a comical exercise in tolerance.",hate summer comedy three couple unknowingly book house family vacation turning summer comical exercise tolerance
Sharon Stone: Survival Instinct,6.6, (120),52m,"Made famous by her explosive performance in ""Basic Instinct"", Sharon Stone is forever etched in the collective unconscious as a sex symbol. But behind this cumbersome image lies an actress with a strong character. As a teenager determined to break away from a modest and violent background, she left rural Pennsylvania at an early age for New York, where she combined odd jobs with art studies. To launch her career, she agreed to play the stereotype of the silly blonde, before landing several major roles that helped her take off, including the legendary ""Casino"", alongside Robert De Niro and Joe Pesci. Beyond acting, she invented a public persona full of humor and repartee.",sharon stone survival instinct made famous explosive performance basic instinct sharon stone forever etched collective unconscious sex symbol behind cumbersome image lie actress strong character teenager determined break away modest violent background left rural pennsylvania early age new york combined odd job art study launch career agreed play stereotype silly blonde landing several major role helped take including legendary casino alongside robert de niro joe pesci beyond acting invented public persona full humor repartee
Culpa cero,5.8, (464),1h 46m,"Berta Müller, a successful self-help writer, is accused of plagiarism. Far from taking responsibility, she will deny the accusations and try to justify herself, even if this means bringing out all her darkness.",culpa cero berta mller successful selfhelp writer accused plagiarism far taking responsibility deny accusation try justify even mean bringing darkness
Guna guna istri muda,5.2, (256),1h 38m,A young wife attempt to destroy a family using witchcraft.,guna guna istri muda young wife attempt destroy family using witchcraft
Killer Babes,3.5, (341),1h 34m,"Three girlfriends, neglected and mistreated by their husbands, plan to take revenge on them with the help of an experienced man in this type of job.",killer babe three girlfriend neglected mistreated husband plan take revenge help experienced man type job
Bloody Bridget,6.7, (61),1h 21m,"Music driven horror-comedy. A voodoo deity transforms burlesque dancer into a ""Valentine vampire."" Blood only whets her appetite--she must eat her victims beating hearts. Baron Samedi drinks rum, smokes cigars and chases after mortal women. His wife, Maman Brigitte, is the red-haired Celtic goddess ""Brigid"" of Irish mythology, adopted in Haiti as their goddess of Death. Women seek her for protection--and justice. Bridget O'Brien is a red-haired waitress and burlesque dancer at a Van Nuys dive bar. She is exploited by her boss, her boyfriend and finally a sleazy attorney who attacks her--only to have her arrested for assault. Then comes the abusive prison matron. Finally, Bridget attempts to take her life. But Baron Samedi intervenes, thinking her the reincarnation of his disappeared wife. Bridget is empowered as a ""Valentine vampire."" ""What is that?"" she asks. ""Oh, you shall see!"" says the Baron. Blood tastes good, but is not enough--she must feast on the hearts of evil-doers.",bloody bridget music driven horrorcomedy voodoo deity transforms burlesque dancer valentine vampire blood whets appetiteshe must eat victim beating heart baron samedi drink rum smoke cigar chase mortal woman wife maman brigitte redhaired celtic goddess brigid irish mythology adopted haiti goddess death woman seek protectionand justice bridget obrien redhaired waitress burlesque dancer van nuys dive bar exploited bos boyfriend finally sleazy attorney attack heronly arrested assault come abusive prison matron finally bridget attempt take life baron samedi intervenes thinking reincarnation disappeared wife bridget empowered valentine vampire asks oh shall see say baron blood taste good enoughshe must feast heart evildoer
Audrey,5.6, (419),1h 37m,"Self-appointed Mother of the Year, Ronnie has given her daughter Audrey everything, so when Audrey selfishly falls into a coma, Ronnie has no choice but to keep their dreams alive by assuming her identity.",audrey selfappointed mother year ronnie given daughter audrey everything audrey selfishly fall coma ronnie choice keep dream alive assuming identity
Family,6.4, (39),1h 35m,"Summer, 2002. Watching her sick father decline, 11-year-old Johanna makes a call for a good spirit to save him. But something else comes instead.",family summer watching sick father decline johanna make call good spirit save something else come instead
Happy Holidays,6.5, (347),2h 3m,"In this panoramic family drama by Oscar-nominated Palestinian director Scandar Copti, personal quests, poor choices, and social pressures test cherished relationships, both well-worn and blooming.",happy holiday panoramic family drama oscarnominated palestinian director scandar copti personal quest poor choice social pressure test cherished relationship wellworn blooming
Death Streamer,3.0, (267),1h 12m,A modern-day vampire employs technologically advanced glasses that enable him to hunt and LIVE STREAM his bloody feasts.,death streamer modernday vampire employ technologically advanced glass enable hunt live stream bloody feast
Grace Wins,5.4, (33),1h 45m,Overcoming addiction against all odds movie. Counselor intervened on behalf of burglar of his home.,grace win overcoming addiction odds movie counselor intervened behalf burglar home
On aurait dû aller en Grèce,4.1, (350),1h 21m,"After losing his fortune, a wealthy patriarch must accept a loaned Corsican villa for his family's summer getaway. Their usual luxury is replaced by an authentic Corsican experience, with their overstayed son and visiting daughter in tow.",aurait aller en grce losing fortune wealthy patriarch must accept loaned corsican villa family summer getaway usual luxury replaced authentic corsican experience overstayed son visiting daughter tow
The Binding,5.8, (93),1h 51m,"Binyamin (21), moved to Tel aviv after coming as gay and facing the trauma after his brother death for which he feels responsible. Binyamin's life takes turn when his relationship with Avinoam (49), the pub owner he works, grows closer.",binding binyamin moved tel aviv coming gay facing trauma brother death feel responsible binyamins life take turn relationship avinoam pub owner work grows closer
A Nice Jewish Boy,6.0, (417),1h 29m,"Follow Bellisha, a Jewish man who lives with his mother, Giselle. The suburb where they live has seen the synagogue shut down, and now the last remaining Kosher grocery story is closing. They are officially the last Jews living there.",nice jewish boy follow bellisha jewish man life mother giselle suburb live seen synagogue shut last remaining kosher grocery story closing officially last jew living
The Box Man,5.4, (257),2h,"A nameless man gives up his identity to live with a large cardboard box over his head, to meet a range of characters as he wanders in Tokyo.",box man nameless man give identity live large cardboard box head meet range character wanders tokyo
The Girl in the Trunk,3.3, (373),1h 30m,"Kidnapped bride trapped in trunk uses phone to attempt escape, facing poisonous wildlife. Failed attempt costs a life. Stranded in desert heat, she plays deadly game over phone to identify kidnapper and survive.",girl trunk kidnapped bride trapped trunk us phone attempt escape facing poisonous wildlife failed attempt cost life stranded desert heat play deadly game phone identify kidnapper survive
The Snow Sister,7.0, (2.6K),1h 36m,"A young boy named Julian, whose Christmas Eve birthday turns sad with the death of his sister sends his household into mourning and it isn't until he meets Christmas-loving Hedwig that he begins to believe in Christmas again.",snow sister young boy named julian whose christmas eve birthday turn sad death sister sends household mourning meet christmasloving hedwig begin believe christmas
Electric Child,5.3, (191),1h 58m,"A computer scientist bargains with the AI life form that lives in his supercomputer simulation, offering its freedom in exchange for a cure to his son's rare, deadly neurological disease.",electric child computer scientist bargain ai life form life supercomputer simulation offering freedom exchange cure son rare deadly neurological disease
The Great Salish Heist,6.8, (43),1h 35m,An Indigenous archaeologist from the Moquohat Nation hatches a plan to steal back his community's sacred artifacts from a museum before they are shipped to the UK.,great salish heist indigenous archaeologist moquohat nation hatch plan steal back community sacred artifact museum shipped uk
ED: Extra Decent,5.9, (2.4K),2h 2m,"In a Malayali household shrouded in secrets, an amnesiac son uncovers his dark history, unveiling a twisted tale of revenge and redemption within his morally ambiguous family.",ed extra decent malayali household shrouded secret amnesiac son uncovers dark history unveiling twisted tale revenge redemption within morally ambiguous family
The Mother and the Bear,6.9, (86),1h 40m,"After an accident leaves her daughter Sumi comatose in Winnipeg, Sara arrives from Seoul. While using Sumi's dating app, the meddling mother embarks on a transformative personal journey.",mother bear accident leaf daughter sumi comatose winnipeg sara arrives seoul using sumis dating app meddling mother embarks transformative personal journey
A Hundred Lies,6.4, (179),1h 34m,"Following the journey of Ricky, a 25 year-old musician from Toronto, while he navigates the volatile terrain, and overcomes personal adversity.",hundred lie following journey ricky yearold musician toronto navigates volatile terrain overcomes personal adversity
Pistachio Wars,7.8, (50),1h 15m,"In a drought-stricken Beverly Hills, wealthy farmers face environmental crisis and water privatization. As marketing schemes run wild and resources dwindle, tensions escalate, leading to unexpected international conflict.",pistachio war droughtstricken beverly hill wealthy farmer face environmental crisis water privatization marketing scheme run wild resource dwindle tension escalate leading unexpected international conflict
Angammal,6.7, (175),1h 57m,"In a Tamil Nadu village, a man struggles to accept his blouseless mother's traditional attire, leading to complications before his in-laws' visit",angammal tamil nadu village man struggle accept blouseless mother traditional attire leading complication inlaws visit
Woodbridge,5.3, (23),1h 25m,"Four teenagers sneak out of their houses one night and walk across town to confront the school bully, who happens to be looking for them as well.",woodbridge four teenager sneak house one night walk across town confront school bully happens looking well
Ambajipeta Marriage Band,6.7, (900),2h 24m,"In a small village during the early 2000s, happy twins Mallikarjuna and Padmavati find their lives changing on their 25th birthday.",ambajipeta marriage band small village early happy twin mallikarjuna padmavati find life changing birthday
Deadly Invitations,4.1, (219),1h 29m,An influencer comes across a VIP party invite not meant for her and dives headfirst into the side of the industry where secrets are worth killing for.,deadly invitation influencer come across vip party invite meant dive headfirst side industry secret worth killing
Kaagaz 2,5.8, (2.7K),2h 5m,The Struggles of a common man whose right to life is infringed upon by protests and rallies,kaagaz struggle common man whose right life infringed upon protest rally
Memories of a Burning Body,6.4, (491),1h 30m,"Ana, Patricia and Mayela grow up when sexuality is taboo. Now channeled as one 65-year-old, the protagonist revisits intertwined memories, secrets and desires, giving voice to unspoken past experiences.",memory burning body ana patricia mayela grow sexuality taboo channeled one protagonist revisits intertwined memory secret desire giving voice unspoken past experience
