Title,Rating,Votes,Duration,Storyline
2745. Powstaniec 1863,5.3, (172),1h 55m,"A gripping story about a man who was the terror of the Russian Empire: the legendary figure of a Polish priest, chaplain and general - Father Stanislaw Brzoska."
2746. The Assistant 2,5.7, (53),1h 44m,"When a young woman infiltrates a family who may help her learn more about her estranged twin sister, she transforms from a nanny to a monster."
2747. Vivekanandan Viralaanu,3.6, (1.5K),2h 1m,A seemingly normal person's dual life is upended when he becomes infamous overnight. He struggles to reconcile his new public persona with his true self.
2748. Chainsaw Man: The Stage,5.2, (33),2h 52m,Theatrical adaptation of the manga Chainsaw Man by Tatsuki Fujimoto.
2749. About Family,6.9, (326),1h 46m,Tells the story of a man who's an elite medical student who decided to become a priest.
2750. Earthquake Underground,3.2, (333),1h 23m,"After a massive earthquake submerges a hotel, a young architect must overcome all odds to save his pregnant girlfriend before the structure collapses."
2751. Rose Rosy Te Gulab,5.8, (350),2h 15m,"Gulab, discontented with his single life, embarks on a manifestation journey advised by friends, finding himself torn between Rose and Rosy. His choice will determine his romantic future."
2752. Cocaine Werewolf,2.4, (366),1h 20m,"Cocaine, Cash and a Crew filming a horror movie in the mysterious woods of northern Pennsylvania clash when an unexpected visit from a Werewolf literally enters the picture."
2753. Death's Sonata,6.2, (753),1h 43m,The story of a man suffering from Schizophrenia and the psychotherapist who tries to find him with the help of his young Bi-Polar patient.
2754. Memories of Love Returned,8.5, (23),1h 16m,"In 2002, Ntare Mwine's car broke down in Mbirizi, Uganda, leading him to discover photographer Kibaate Ssalongo's studio. This sparked a 22-year journey documenting Kibaate's work and its impact on the community."
2755. History of Evil,3.4, (873),1h 38m,A family on the run from a corrupt state takes refuge in a safe house with an evil past.
2756. H.P. Lovecraft's the Shadow Over Innsmouth,6.2, (24),Not Rated,"A history professor tracing his family tree visits the seaside town of Innsmouth, on the North Yorkshire coast. While there he becomes caught up in disturbing events that lead to horrifying personal revelations."
2757. Dagr,4.2, (3.2K),1h 17m,Fame seeking YouTubers find themselves in a paranormal nightmare when the advert team they are stealing from awakens a murderous occultist from the past.
2758. Shontaan,7.2, (661),2h 23m,"What happens when a devoted father is rejected by the son he raised? As he seeks justice in court, will the family heal, or will the divide grow deeper?"
"2759. Blood, Beach, Betrayal",5.8, (112),1h 32m,"At a high end beach club, a female college lifeguard gets caught up in a secret affair with a wealthy housewife."
2760. Battlefield,6.1, (820),1h 44m,"In WWI, Dr. Stefano Zorzi works at a clinic, treating soldiers' wounds and cases of self-injury to avoid combat.Dr. Giulio, who helps soldiers, becomes a silent competition that also involves nurse Anna. The Spanish flu strikes the city."
2761. The Ecstasy of Gold: The Treasure of Jesse James,5.8, (27),1h 30m,"Colt Turner returns home eager to embrace his beloved partner Annie. His homecoming is met with a tense atmosphere, as Colt holds valuable information about the location of a legendary load of gold: the treasure of the famous Jesse James."
2762. Hola Frida,6.9, (189),1h 22m,"Frida Kahlo is a little girl who is different. Sparkling and vibrant, everything interests her. And when life's trials and tribulations come her way, she faces them with her overflowing imagination."
2764. Fear,7.6, (3K),1h 55m,"Sindhu's world is shattered when her boyfriend vanishes. Held captive in a mental asylum, she must confront the evil forces driving her madness and confront the terrifying truth about her own past in order to escape and uncover the truth."
2765. The Investigation,7.7, (204),4h 1m,"In 1963 former SS soldiers are tried for their involvement in running the Auschwitz camp. Witnesses and defendants take the stand, some describing the worst of which humanity is capable, others hiding behind procedures and orders."
2766. A Circus Tale & a Love Song,5.6, (138),1h 54m,"A romantic circus performer leaves Mexico seeking love, landing in New Orleans where he falls for an exotic dancer - but her possessive ex threatens their chance at happiness."
2768. Stabat Mater,5.4, (36),2h,"A twenty-year-old mother named Clara struggles with her role, finding herself unfit. She resorts to unsavory jobs and decides to abandon her daughter Amanda."
2769. La casa degli sguardi,7.1, (52),1h 49m,"Marco is a deeply troubled young man dealing with addiction and the death of his mother, who finds redemption through a cleaning job at Rome's Bambino Gesù pediatric hospital and the companionship of his father."
2770. Prepare to Die,4.2, (307),1h 33m,A young man trains in the ways of martial arts to seek vengeance on the corrupt landowner who murdered his family.
2771. Freelance,4.9, (516),1h 50m,"When a down-on-her luck video editor takes on a mysterious, well-paying job cutting snuff films, she is haunted by visions of the people in her videos."
2773. Reversi,7.0, (408),2h 15m,A man's undying love for his wife and son makes him go to great lengths to correct his past for a better future.
2775. Triumph,4.9, (546),1h 38m,"After the Fall of Communism in the early 1990s, a classified task force of high-rank Bulgarian Army officers led by a psychic channeler starts digging a hole in search of a mysterious artifact which will bring about the ultimate triumph."
2776. Sahbek Rajel,7.9, (185),2h 25m,"Two cops - one reckless, one family-oriented and honest - become partners, leading to action-packed and comedic situations."
2777. Bloodlust,8.6, (23),1h 37m,"Bloodlust follows the story of Chad Ross, a boy who was born with a rare condition that causes his blood cells to infinitely regenerate themselves, as the government notices his potential. Kidnapped by a deranged drill sergeant, Ross is trained to become an American super-soldier and a cold-blooded and lonely killing machine. But when a formidable terrorist group commanded by their psychotic leader Reaper takes a nuclear weapons bunker hostage, he is forced to work with a squad who help him realize what it means to find your purpose."
2778. O2,6.5, (8.5K),1h 45m,"A gripping narrative of a child prodigy who eyes the impossible as a doctor to give a fresh breath of life to life. A mesmerizing tale of ambition, sacrifice and the delicate balance between professional success and personal redemption."
2779. Somebody,6.2, (175),1h 52m,"A swimming instructor and her violent 7-year-old daughter's story intertwines with two characters handling solitary deaths 20 years later, all haunted by a mother's presence in their personal hells."
2780. Børnene fra Sølvgade,6.5, (238),1h 42m,"Four children live by their own rules in an apartment without adults. When the school inspector starts questioning their always absent parents, the kids come up with a plan to avoid being sent to an orphanage: they will hire a housekeeper."
2782. Love... Reconsidered,4.1, (150),1h 28m,Ruby is a thirty and flirty (but definitely not thriving) New Yorker whose life is transferred to the Hamptons right after a chance meeting with a wealthy consignment store owner.
2783. Shooting My Life's Script,6.2, (363),1h 35m,"During the school year, Fani's mother insists she participate in a selection for an exchange program. She gets first place and is soon forced to face her feelings and internal conflicts after she falls in love with someone unexpected."
2784. The Fisherman,7.5, (93),1h 48m,A Ghanaian fisherman teams up with a talking fish and a few companions for an adventure to Accra. They chase the dream of owning a boat while balancing the modern world and traditions.
2785. Devaki Nandana Vasudeva,6.2, (2.8K),2h 8m,"Driven by fears of astrological prophecy, Kamsaraja torments his sister's family, convinced her child will cause his downfall. When imprisoned, Krishna shields the family from Kamsaraja's sinister schemes."
2786. DitO,5.6, (28),1h 57m,"Professional boxer Eiji Kamiyama had been attempting a comeback in the Philippines but hit 40 without a fight. Suddenly, his daughter Momoko arrives with news of her mother's death. Disturbed by their reunion, Momoko and Eiji start an awkward life."
2787. Him,7.0, (42),1h 20m,"Five reality dating show finalists unite against manipulative producers and a deceitful suitor in a remote villa, fighting for their dignity after being pushed into manufactured romance."
2788. Stopping the Steal,7.5, (1.6K),1h 30m,An inside account of President Trump's challenge to the results of the 2020 presidential election as told by former White House staff and appointees.
2789. Princess Halle and the Jester,4.5, (84),1h 11m,"Goblins attack, capture king. Princess escapes with jester to his village, disguises as peasant. Stepmother usurps throne, issues reward for princess. Princess plans with friends to rescue father, restore peace."
2790. Ghost Game,3.4, (453),1h 26m,Follows a thrill-seeking couple who set their target in an haunted house and endure various incidents as they witness a family going mad.
2791. Russian Consul,7.4, (793),2h 27m,"Year 1973, turmoil between Kosovo Serbs and Albanians in Autonomous province of Kosovo. A story that describes the beginning of the crisis in Kosovo."
2792. Hayatla Baris,6.3, (474),2h 5m,Biography of Baris Telli about his accident at a young age to being a professional in many sports.
2793. Road Trip,6.2, (178),1h 48m,Five friends go on a roadtrip to visit the wake of a friend.
2794. Sabari,6.2, (5.4K),2h 9m,"A single mother battles her past demons to safeguard her child's future, facing daunting challenges to shield her daughter from imminent danger."
2795. ElemenTory,4.5, (289),1h 50m,"Following the disappearance of their son, a couple joins other parents whose children have gone missing from school. Frustrated by the lack of progress they take control of the school looking for answers."
2796. Jimmy Carr: Natural Born Killer,6.7, (2.9K),59m,"An iconic comedian tackles controversial issues such as gun control, religion, cancellation culture and consent through provocative humor."
2797. Stuntman,6.8, (328),1h 54m,"A washed-up stunt director is struggling to find his way in a changing industry. He risks everything to stage a comeback, while also attempting to repair the relationship with his estranged daughter."
2799. National Theatre Live: Nye,8.1, (335),2h 40m,"Confronted with death, Aneurin 'Nye' Bevan's deepest memories lead him on a mind-bending journey back through his life; from childhood to mining underground, Parliament and fights with Churchill."
2800. The Desiring,5.2, (74),1h 20m,"Haunted by his father's fanatical spirituality, a man's life is thrown into disarray when he discovers he is attracted to his wife's infidelity."
2801. Forbidden Love,7.5, (35),1h 36m,"Neha gets drawn to the glamorous world of advertising. Enamoured by her boss Rajeev, her life with Sameer takes a forbidden turn. Trapped in a triangle of desire, loyalty and ambition, will she find a way out?"
2802. The Adamant Girl,6.6, (1.6K),1h 40m,"Meena, who loves a man from a lower caste but her family thinks she is possessed and cast the spell out of her."
2803. A Girl Named Ann,7.1, (430),1h 53m,A drug-addicted girl from an abusive family finds hope through kind people but her grim reality strikes back just as she sees a glimmer of light.
"2805. Sun, Rosé and Romance",5.7, (214),1h 29m,"A marine archaeologist works on a shipwreck, uncovers a romantic tale behind a wine discovery, and sparks a romance with a Spanish winemaker."
2806. Demons,6.1, (152),1h 35m,A man and a woman. A marriage goes wrong.
2807. Beyond After,6.5, (49),1h 33m,"Beyond After is a documentary that explores the cultural impact of Anna Todd's the After franchise, from bestselling novels to cinematic sensation, with behind-the-scenes insights and interviews."
2808. Tasty,6.7, (321),1h 48m,Follows two friends working in a canteen who take part in a cooking competition on TV.
2809. Manipula,8.5, (36),1h 34m,"Sylvia, a resolute CIB officer, seeks revenge for her father's death and confronts Armando, her main target."
2810. Prodigies,6.6, (429),1h 41m,"Twin sisters, driven by passion for piano, join an elite music university. Diagnosed with a debilitating illness threatening their hands, they refuse to abandon their dream, fighting to reinvent themselves as prodigious pianists."
2812. Bloody Mary,3.4, (69),1h 12m,"Two witches' Blood Moon ritual requires a male sacrifice, but tonight's chosen one disrupts their plans. As they face unexpected dangers and personal demons, their bond proves more powerful than magic."
2813. Fighting the Fire,7.9, (1.7K),1h 55m,"Brian Cook has been firefighter for over 15 years, but he is now facing the biggest battle of his life - not the fire in the field, but the fire burning inside."
2814. Dongeng Sang Kancil,6.7, (278),1h 39m,"A mouse-deer, Sang Kancil, small in figure but cunning and wise. With his intelligence, Sang Kancil often escapes dangers and sometimes helps other animals that are in trouble with bigger and more fierce animals."
2815. Les Survivantes,8.2, (31),1h 53m,"Eight survivors recount their harrowing experiences within a widespread pedophile network, exposing the system that enabled such horrific abuse and asking how long it will persist."
2816. The Ritual,3.8, (54),1h 40m,"When given the chance to reunite with her deceased father, college sophomore Maria joins a paranormal academic group led by Louis. However, their scientific venture unearths an ancient ritual in which the group is doomed to take part."
2817. The Epic of Gilgamesh,5.2, (6),1h 19m,"Gilgamesh, king of Uruk, abuses power prompting gods to create Enkidu to subdue him. They befriend, kill Humbaba, fight Bull of Heaven. Enkidu dies, Gilgamesh seeks Utnapishim for immortality."
2818. War Game,5.5, (699),1h 34m,"US officials simulate a coup post a disputed election. Insurgents take capitals, questioning the president's military control. Countering disinformation is vital, highlighting bipartisan defense of democracy."
2819. Hamare Baarah,7.1, (1.8K),2h 28m,"A woman takes her father to court to allow her mother, who is in the midst of a risky pregnancy, the right to terminate the pregnancy in order to save her life."
2820. Living in Two Worlds,7.1, (275),1h 45m,"Explores Dai's life as a CODA, navigating between the hearing and deaf worlds. It delves into his complex experiences, bridging communication barriers."
2821. Jama,7.8, (1.7K),2h 13m,"A young Koothu artist, fighting to continue his fathers legacy of traditional folk art amidst rivals suppressions , torn between his love, mothers wishes, and his own creative path."
2822. Schneewittchen,5.1, (21),1h 10m,"Snow White declines the Prince's offer to witness the Evil Queen and the Hunter's intimate encounter, quipping she'd prefer to hear about it instead."
2823. Extraordinary,6.6, (206),1h 43m,"8-year-old Kolya is not like everyone else. The boy's mother, Tatyana, following the doctors, no longer believes that the congenital disease will recede and the child will one day become ""normal."" But her new acquaintance Yuri is determined to put Kolya on his feet with the help of his unique gymnastics system. And when during classes it accidentally turns out that the boy has a talent for music, learning to play the piano becomes another step on the path to recovery. Ahead of Kolya is a prestigious piano competition in China and a lot of obstacles, which the healing power of music and fatherly love will help him overcome."
2824. The Art of Nothing,5.1, (308),1h 30m,"An unknown and unhappy painter suddenly decides to quit his job and move to a small town in Normandie, hoping to be able to create a masterpiece. Local people will have an unexpected impact on his life."
2825. Mikado,6.0, (281),1h 34m,"Mikado and Laetitia home-school Nuage and Zephir while living in a van. The van breaks down, so the family must spend the summer in a house. The change challenges their alternative lifestyle."
2826. Thank You for Banking with Us,7.1, (333),1h 32m,"When their father passes away leaving a large sum of money in the bank, two sisters put their differences aside and join forces against Sharia law, according to which their brother has the right to take double what they are entitled to."
2827. Because of Mika,7.2, (30),1h 35m,"A quick-witted Long Islander chooses the easy way out in life by selling weed, delivering pizza, and ignoring his past to get by; but business and life soon gets interrupted when he finds a stray dog with one small issue....she's a ghost."
2828. Paani,7.8, (347),2h 28m,A drought-stricken village becomes the backdrop as a commoner fights adversity and local goons to transform the place into a self-sufficient haven.
2829. Havumetsän lapset,7.1, (324),1h 33m,"Once Upon a Time in a Forest is a documentary about young people defending Finland's last coniferous forest, exploring environmental feelings and the love story of 22-year-old protagonist Ida."
2830. Dimension Slip,3.9, (177),1h 39m,"Kate, a troubled young woman wakes up in a parallel dimension and assumes her double's identity in order to solve her attempted murder."
2831. The Contract,2.5, (151),1h 30m,A married couple enters into a contract to have a threesome and realizes what is most important to their marrage.
2832. We Work for the Dead,4.3, (556),1h 24m,If you're looking for a unique side hustle and don't mind being possessed...sign up for a delivery service with a dark twist. Your clients? The Dead.
2833. Call Me Now: The Rise and Fall of Miss Cleo,6.9, (108),1h 25m,"Miss Cleo, a psychic reader, achieves fame through Psychic Readers Network in the 90s. However, the network gets accused of fraud and misleading advertising, turning her world upside down."
2834. DNA,5.3, (238),2h 36m,"A prolific murderer begins taking lives. To discover out, a female investigator and her crew start an inquiry. At last, the murderer-who nobody was suspecting-is apprehended. His reasons for killing were personal revenge."
2835. Videotheque,4.7, (246),1h 52m,"Fleeing the police, a small-time thief hides in an abandoned video store. Stuck for the night he decides to play three strange films."
2836. The Birds Who Fear Death,6.1, (152),1h 50m,"Two brothers, disinherited and desperate for cash, journey into the Canadian wilds to find themselves, their people and their fortune."
2837. Malaikottai Vaaliban,5.9, (4.3K),2h 36m,"Journey of Malaikottai Vaaliban, an undisputed warrior, transcends time and geographies, triumphing over every opponent he encounters."
2838. Thaanara,4.6, (815),1h 58m,"Anjali, the daughter of a former home minister, is unhappily married to Adarsh, an opposition MLA. Distrustful of her husband, she secretly monitors his activities with the help of a police officer named James."
2839. ABBA: Against the Odds,7.3, (885),1h 30m,To commemorate the 50th anniversary of the iconic Swedish group winning the Eurovision Song Contest.
2840. Banzo,6.6, (200),2h 7m,"Plantation physician Afonso assigned to treat enslaved servants with fatal homesickness, Banzo, on an African island. Despite medical efforts, he struggles to heal their spirits on isolated hill, confronting existential challenge."
2841. Meet Me in Rome,5.1, (705),1h 25m,"3 women arrive in Rome ready to risk it all for love. They become the leading ladies in their very own rom-com. Handsome suitors and steamy romance await. Will our ladies find the love they're looking for, or leave as single as they came?"
2842. Grand Maison Paris,6.3, (437),1h 51m,"Famous Japanese chef Obana opens a restaurant in Paris, seeking third Michelin star. Faces challenges as outsider, sourcing ingredients. Tensions rise with staff over ambitious menu."
2843. Main Atal Hoon,6.9, (6.5K),2h 19m,"Follows the extraordinary life and political journey of Shri Atal Bihari Vajpayee, an iconic figure in Indian politics and delves into the multifaceted persona of Vajpayee Ji, capturing his essence as a poet, a gentleman, and a statesman."
2844. The Window,5.3, (143),1h 22m,"Mina, a 15-year-old Pakistani girl, is given as atonement for her brother's misdeed. Her ruthless spouse imprisons her, leaving her imagination as refuge, while their families' lives collide in a devastating manner."
2845. Nudus,6.0, (67),1h 34m,"Laura awakens from a coma in a stark white room, where she is questioned about her social media activity. As she recalls her pregnancy, she must confront terrifying apparitions and fight to save her baby."
2846. The Antisocial Network: Memes to Mayhem,6.4, (2.9K),1h 25m,"A group of lonely teenagers formed an online community and bonded over their isolation, but their collective beliefs warped reality."
2847. The Disinvited,7.5, (80),1h 32m,"Carl crashes an event he's unwelcome at, sparking a day of betrayal, violence, and heartbreak. He must decide whether to save himself or risk all for those who wronged him when other unwanted guests surface."
2848. The Womb,6.7, (27),1h 39m,"The Womb centers around Sami, a deaf woman who waits for a family that never returns. The mystery of ""why"" is at the heart of this psychological thriller that involves a malevolent entity that has left her entire neighborhood barren."
2849. The Suspect List,7.8, (1.4K),2h,A riveting corporate thriller by Adv Irfan Kamal delving deep into the clandestine world of a prestigious company. It is centred on a fraud committed by an individual and the attempts to smoke him out.
2850. Twiggy,7.1, (256),1h 34m,"UK model and cultural icon Twiggy, real name Lesley Lawson, whose career kickstarted in the 1960s."
2851. Schitterend,6.2, (326),1h 41m,"A retired woman struggles with feeling invisible to her husband, while her daughter pursues her dreams of becoming a model."
2852. The Shepherd and the Bear,7.4, (92),1h 41m,"An aging shepherd struggles to find a successor as bears prey on his flock. While, a teenage boy becomes obsessed with tracking the bears."
2853. Bolehkah Sekali Saja Kumenangis,6.8, (416),1h 41m,"After her brother left home, Tari struggled alone to save her mother from her abusive father. Tari, who has been traumatized since childhood decided to join a support group along with Baskara. They seek salvation by opening up their heart."
2855. The Avenger,4.1, (40),1h 21m,"After Matt Hollis wife is attacked and his daughter is kidnapped, he recruits his ex-special forces buddy in a violent rescue mission."
2857. Osomoy,6.8, (521),2h 41m,"Urbi is caught between her middle-class background and her wealthy university friends. As she chases her dreams in this privileged world, she falls into life-altering chaos, paying dearly for her ambitions."
2858. Isla Monstro,7.2, (20),1h 36m,"When loser Duke, who has screwed up every hair-brained scheme he's ever come up with, accidentally falls off a cruise ship and wakes up on a mysterious top secret government island, he discovers that it's overrun with mutants and monsters from a failed 1980s DARPA ""super soldier"" project to stop the 2nd Cold War. He soon comes up with the incredible idea of turning the island into a world class getaway resort, utilizing the creatures as it's staff, much to the dismay of the United States government."
2859. Thirty Years with the Whip,5.7, (51),1h 29m,The toxic relationship with her parents triggers Tina's escape from home. Her affair with an SM aficionado introduces Tina to a radically new life as dominatrix for a special clientele while battling her own gambling addiction.
2861. Kiyma: Orman Kanunlari,4.6, (75),1h 21m,"Ömer, Tufan and Poyraz want to spend the summer in Bodrum and participate in a competition program. When they go to Bodrum, they participate in the eliminations of the competition. While experiencing the entertainment and nightlife on the one hand and the difficulties of the competition on the other, they face a bigger trouble."
2862. Delivery Boy,7.9, (1.2K),2h 5m,"Small-time real estate agents Bhau and Chochya encounter Dr. Amruta Deshmukh, who aims to establish a surrogacy hospital. Their journey to make her vision a reality unfolds."
2863. Bonnie and Clyde: The Musical,6.9, (147),2h 30m,Two small-town kids from the middle of nowhere became the biggest folk heroes in all America. They craved adventure-and each other.
2864. Salt Water,6.7, (349),1h 23m,"A man reconnects with the priest who abused him as a boy and wrestles with the feelings of aversion, lust, and affection that are awakened in him as a result."
2865. Séance Games: Metaxu,4.6, (1.2K),1h 26m,"Social media stars unite to play METAXU, an online séance game, only to find they have unwittingly unleashed the Gates of Hell."
2866. Going Viral,6.1, (331),1h 30m,"In a neon-lit backdrop of the 1980s, a nerdy teenager suddenly gets the popularity he's always wanted when a deceitful artificial intelligence makes him a video star."
2867. Hovering Blade,6.1, (261),1h 47m,The single father Li Chang Feng resolutely embarked on the road of revenge after his daughter was abused and killed by several minors.
2868. The Notorious Finster,3.8, (211),1h 53m,"A journalist who writes about a notorious serial killer, Finster, leaves the city for a more peaceful life but soon learns violence has no boundaries."
2869. Never Have I Ever,5.3, (52),1h 37m,"Sam, a struggling writer, faces pressure to repay an advance. His day spirals as he loses his wallet, experiences break-ins, and a chance encounter leads to unexpected events, further complicating his predicament and deadline."
2870. Six Nine Five (695),7.0, (714),2h 17m,Based on Ram janambhumi Struggle. Historical drama concerning the birth of Rama
2872. Amp House Massacre,3.8, (251),1h 20m,A group of social media influencers sharing a mansion in the Hollywood Hills find themselves caught in a life and death game of survival as a killer reveals their deepest secrets before killing them off one by one.
2873. Windcatcher,5.4, (445),1h 20m,A ten-year-old Aboriginal boy and his friends try to defeat bullies at a school carnival and become heroes.
2875. Ship of the Damned,2.8, (399),1h 28m,"After an abandoned 500 year-old ship appears off the coast of a small town, Historian Elena and the local coastguard go to investigate. They discover it is not abandoned and the ship's cursed crew have horrific plans for the intruders."
2876. The Magic Reindeer Saving Santa's Sleigh,6.1, (507),1h 26m,Niko is a flying reindeer boy whose biggest dream is to become a member of Santa's flying forces. But instead he loses Santa's sleigh and during pursuit to get it back he learns the importance of friendship and doing things your own way.
"2877. Marry, Fuck, Kill",4.2, (12),1h 21m,"Ivan's life is a disaster. He spends his days lost in his own head, bouncing between porn, target practice, and a hopeless crush on a co-worker. Full of self-doubt, bitter humor, and jabs at himself and the world around him."
2878. Every Little Thing,7.2, (420),1h 33m,"A woman in Hollywood cares for injured hummingbirds, experiencing personal growth as she witnesses their fragility and resilience."
2879. 1995,6.9, (718),2h,A man embarks on a journey to shoot 20 short films around the world for a reality series.
2880. The Ceremony,7.5, (84),1h 32m,Two troubled migrant workers in a Bradford car wash are dragged into an escalating moral crisis as night falls.
2881. Veeranjaneyulu Vihara Yatra,8.6, (2.2K),2h 10m,A dysfunctional family sets off on a road trip to immerse the grandfather's ashes in Goa and drama ensues.
2883. Jolly O Gymkhana,7.0, (1.5K),2h 9m,"A Tenkasi-based family finds a dead person, and is forced to go on a journey that makes them reach Kodaikanal."
2884. Shadow of Vengeance,3.8, (199),1h 28m,An Ex Navy Seal is pushed to the brink when the man who murdered his mother is released early from prison and his niece is beaten within an inch of her life.
2885. Merz gegen Merz - Geheimnisse,6.8, (105),1h 29m,Anne is stupefied when her demented father Ludwig announces he has an illegitimate daughter (named Anne as well). This Anne will share his legacy or may even get all. But the first Anne won't accept that without a fight. Even Erik helps.
2886. Easter Bloody Easter,3.3, (362),1h 43m,A woman must protect her small town from the Jackalope and his army of devilish bunnies as they embark on a murder spree over the Easter weekend.
2887. Sea of Love,5.0, (33),1h 32m,"Ratheesh working in Singapore dreams of settling in a village with his mother.He falls for his neighbor Jumai,a bidi roller but she shows no interest.Suspecting she might be a lesbian,his life spirals unexpectedly as he follows his doubts"
2888. Un homme en fuite,5.6, (247),1h 46m,"Rochebrune is on the verge of chaos: Johnny, a native of the country, leader of a protest movement, has disappeared after hijacking a money van. When Paul, his childhood friend, learns about it, he decides to retrace the steps of shared memories of yesteryear to try to find his friend before the police. Rochebrune est au bord du chaos : Johnny, enfant du pays, meneur d'un mouvement de protestation, a disparu après avoir braqué un fourgon. Lorsque Paul, son ami d'enfance, l'apprend, il décide de revenir sur les traces des souvenirs partagés d'autrefois pour tenter de retrouver son compère avant la police."
2890. Khameleon,3.8, (25),1h 29m,"A lesbian with split personality disorder navigates psychological turmoil, dragging those around her into chaos as her fractured mind leads to destructive choices."
2891. Books & Drinks,5.3, (221),1h 34m,"David travels to Dominican Republic to sell a house he has inherited from the father he never knew. There he will meet Maria, who is going to turn his life upside down."
2892. Dalia y el Libro Rojo,5.8, (269),1h 47m,"Dalia, the daughter of a famous writer who recently passed away, inherits the mission of finishing her father's novel. To do so, she must become part of the story and face its characters, all fighting to be the protagonist of the book."
2893. Wake,3.4, (331),1h 25m,"Desperate for a lead role in a Hollywood remake, a struggling actress tracks down the lead of the original film who's now a mysterious recluse. Strange occurrences quickly turn the meeting into a nightmare."
2894. The Waterboyz,4.8, (194),1h 29m,"In the streets of ATL, two young men cross paths. One trying to make a legit living, one trying to create mayhem and rule the streets."
2895. Gender Agenda,5.5, (868),1h 15m,"Netflix stand-up comedy special filmed live in London, hosted by Hannah Gadsby, and featuring various queer and trans comedians performing short sets."
2897. Murder at First Swipe,6.8, (174),1h 35m,"Serial killer Stephen Port scoured dating apps to choose and target his victims. He then drugged, raped and murdered them, exposing a web of lies and his hiding in plain sight."
2898. Bairi,7.0, (527),2h 20m,"A newly-widowed mother struggles to connect with her son as he copes with his father's death by immersing himself in the intense hobby of racing pigeons, threatening their relationship."
2899. Finding Tony,6.2, (213),1h 20m,"When a depressed, widowed NBA star loses everything, he reluctantly begins coaching a junior college women's basketball team, where he meets an orphaned basketball phenom who will change his life forever."
2900. Hauntology,3.6, (437),1h 43m,"An older sister takes her fearless runaway sibling on a road trip, to share the most chilling tales surrounding their hometown."
2902. I Heart Robots,4.3, (2.4K),1h 16m,"Years after a robot apocalypse, Terra ventures away from her secluded compound to take her lovable robot companion West to save what's left of a dying world."
2903. La mitad de Ana,5.9, (101),1h 29m,"Son confesses to his mother, Ana, that he doesn't feel like a girl; that he is a boy. Confused and blocked, Ana decides to stop so she can observe him and understand him and, in the same way, understand herself."
2904. Alien Weekend,5.4, (352),1h 35m,"The night Violet learns she is pregnant, she and her three adorably nerdy best friends find themselves in the heart of an interplanetary crisis after an egg-the last female of an extraterrestrial species-crash lands in their little town."
2905. A Dog's Will 2,6.1, (3.7K),1h 44m,"After 20 years missing, João Grilo returns to Taperoá to join his old friend Chicó and, after his story of resurrection spreads, he is disputed as an electoral candidate by the two most powerful politicians in the city."
2906. Into the Mortal World,7.0, (318),1h 58m,"Adaptation of the classic fairy tale, the descendants of Niu Lang and Zhi Nv continue to write a new adventure."
2907. Three,4.5, (48),2h 10m,"TIffany and Jayson live a simple life until Jayson asks for a sexy 30th B-Day gift. He wants a 3-some with Tiffany and her lesbian BFF, Ashley. What seems like a dream for Jayson, leads to jealousy, betrayal and a trail of broken hearts"
2908. Chhota Bheem and the Curse of Damyaan,4.6, (2.3K),2h 25m,Bheem and his gang travel to the past to king Damyaan and stop him from being immortal.
2909. Every You Every Me,6.0, (257),1h 48m,Nadine seeks to revive a failing relationship. She struggles to reconnect with the emotions that first drew her to her partner. Something in him she once cherished now seems lost.
2910. Christmas Cowboy,5.5, (244),1h 58m,"Mary, a savvy but overlooked real estate developer, gets a $1.2 billion opportunity, forcing her to return to her hometown amidst family tensions, rivalry, and new romance, discovering true Christmas magic: love, forgiveness, and horses."
2911. The Ark and the Darkness,5.4, (553),2h 5m,"Noah's Ark withstands a global flood, corroborated by scientific evidence across disciplines. A team exposes the truth behind this ancient tale found in cultures worldwide, confirming the Biblical account."
2912. Firecracker,4.5, (1K),1h 47m,"When a heist goes dramatically wrong, leaving a hostage in peril, an unlikely trio find themselves fighting for their lives and their sanity on bonfire night."
2913. The Lonely Ones,4.1, (58),1h 36m,"When a young couple wake up one morning to discover the world outside their apartment has vanished, they must figure out a way to survive. But are they as alone as they think?"
2914. Love at First Lie,4.2, (43),1h 47m,"Bo, a cheerful girl from Mong Kok, meets wealthy Edward, who hires her to sabotage his father's wedding. As they fall deeply in love, their romance faces unexpected challenges that test their bond."
2915. Relative Control,6.7, (82),1h 49m,"A lawyer's life unravels while managing her stubborn, accident-prone elderly father and defending her biggest corporate case against a hostile takeover."
2916. Troubleshooters,6.1, (473),1h 50m,"Two friends from Tirana attempt to solve a murder mystery at a Durrës resort while masquerading as wealthy men, encountering love interests, criminals, and self-doubt along the way as they navigate their first case as private detectives."
2917. Cry of Silence,4.0, (117),1h 56m,"Cry of Silence, is about a double kidnapping, and assault that is presented as an Action Packed ,Dramatic, Thriller that will keep you riveted."
2918. Name the Demon,3.7, (246),1h 17m,"The story of David, in an effort to save his possessed wife Anna. This is the remaining footage that was painstakingly put together to help tell the story of this horrific night."
2919. Staycation,3.2, (177),1h 34m,"As a candid interview carries on between the country's leading virologist and a no-nonsense journalist, college roommates deal with the daily struggles of a global pandemic, and a couple separated between continents play catch up."
