Title,Rating,Votes,Duration,Storyline
54. A Real Pain,7.0, (156K),1h 30m,"Mismatched cousins reunite for a tour through Poland to honor their beloved grandmother, but their old tensions resurface against the backdrop of their family history."
55. Joker: Folie à Deux,5.2, (184K),2h 18m,"Struggling with his dual identity, failed comedian Arthur Fleck meets the love of his life, Harley Quinn, while incarcerated at Arkham State Hospital."
56. Your Fault,5.3, (19K),1h 58m,"Despite their parents' efforts to separate them, Noah and Nick's love seems unbreakable. However, work and college open their lives to new relationships."
57. Inside Out 2,7.5, (252K),1h 36m,"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to the possibility of being replaced."
58. I Saw the TV Glow,5.8, (46K),1h 40m,"In late-90s suburbia, a lonely teenager meets a girl at school who introduces him to a mysterious late-night T.V. show. As time goes on, however, questions begin to arise about why the show sometimes seems more real than their own lives."
59. A Quiet Place: Day One,6.3, (178K),1h 39m,A young woman named Sam finds herself trapped in New York City during the early stages of an invasion by alien creatures with ultra-sensitive hearing.
60. Argylle,5.6, (101K),2h 19m,A reclusive author who writes espionage novels about a secret agent and a global spy syndicate realizes that the plot of the new book she's writing starts to mirror real-world events in real time.
61. All of You,6.3, (9.7K),1h 38m,A stirring near-futuristic romance of two best friends who harbor an unspoken love for one another even after a test matches one of them up with their supposed soulmate.
62. Transformers One,7.6, (66K),1h 44m,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but who once were friends bonded like brothers who changed the fate of Cybertron forever."
63. Rebel Ridge,6.8, (103K),2h 11m,A former Marine grapples his way through a web of small-town corruption when an attempt to post bail for his cousin escalates into a violent standoff with the local police chief.
64. Kinds of Kindness,6.4, (72K),2h 44m,"A man seeks to break free from his predetermined path, a cop questions his wife's demeanor after her return from a supposed drowning, and a woman searches for an extraordinary individual prophesied to become a renowned spiritual guide."
65. Shelby Oaks,5.3, (15K),1h 31m,A woman's obsessive search for her missing sister leads her into a terrifying mystery at the hands of an unknown evil.
66. I'm Still Here,8.1, (162K),2h 17m,A woman married to a former politician during the military dictatorship in Brazil is forced to reinvent herself and chart a new course for her family after a violent and arbitrary act.
67. Conclave,7.4, (275K),2h,"When Cardinal Lawrence is tasked with leading the selection of a new Pope, he finds himself in a web of conspiracy and intrigue that could shake the very foundations of the Catholic Church."
68. The Order,6.8, (63K),1h 56m,A series of bank robberies and car heists frightens communities in the Pacific Northwest. A lone FBI agent believes that the crimes were not the work of financially motivated criminals but rather a group of dangerous domestic terrorists.
69. Venom: The Last Dance,6.0, (157K),1h 50m,Eddie Brock and Venom must make a devastating decision as they're pursued by a mysterious military man and alien monsters from Venom's home world.
70. The Watchers,5.7, (70K),1h 42m,"A young artist gets stranded in an extensive, immaculate forest in western Ireland, where, after finding shelter, she becomes trapped alongside three strangers, stalked by mysterious creatures each night."
71. Attack on Titan: The Last Attack,9.0, (30K),2h 25m,"The fate of the world hangs in the balance as Eren unleashes the ultimate power of the Titans. With a burning determination to eliminate all who threaten Eldia, he leads an unstoppable army of Colossal Titans towards Marley."
72. Wolfs,6.5, (105K),1h 48m,"Two rival fixers cross paths when they're both called in to help cover up a prominent New York official's misstep. Over one explosive night, they'll have to set aside their petty grievances and their egos to finish the job."
73. Bad Boys: Ride or Die,6.5, (114K),1h 55m,"When their late police captain gets linked to drug cartels, wisecracking Miami cops Mike Lowrey and Marcus Burnett embark on a dangerous mission to clear his name."
74. Godzilla X Kong: The New Empire,6.0, (136K),1h 55m,"Two ancient titans, Godzilla and Kong, clash in an epic battle as humans unravel their intertwined origins and connection to Skull Island's mysteries."
75. Tell Me What You Want,4.1, (2.6K),1h 54m,"After his father's death, Eric Zimmerman travels to Spain to oversee his company's branches. In Madrid, he falls for Judith and engage in an intense, erotic relationship full of exploration. Eric fears his secret may end their affair."
76. Small Things Like These,6.7, (38K),1h 38m,In 1985 devoted father Bill Furlong discovers disturbing secrets kept by the local convent and uncovers shocking truths of his own.
77. Kung Fu Panda 4,6.3, (83K),1h 34m,"After Po is tapped to become the Spiritual Leader of the Valley of Peace, he needs to find and train a new Dragon Warrior, while a wicked sorceress plans to re-summon all the master villains whom Po has vanquished to the spirit realm."
78. Land of Bad,6.6, (59K),1h 53m,A Delta Force team fights for survival as an Air Force drone pilot becomes its eyes in the sky.
79. It's What's Inside,6.6, (52K),1h 43m,"A group of friends gather for a pre-wedding party that descends into an existential nightmare when an estranged friend arrives with a mysterious game that awakens long-hidden secrets, desires and grudges."
80. Beetlejuice Beetlejuice,6.6, (176K),1h 45m,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Beetlejuice, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife."
81. Bone Lake,5.6, (14K),1h 34m,"A couple's vacation at a secluded estate is upended when they're forced to share the mansion with a mysterious couple. A dream getaway spirals into a nightmarish maze of sex, lies, and manipulation, triggering a battle for survival."
82. We Live in Time,7.0, (73K),1h 48m,"After an unusual encounter, a talented chef and a recent divorcée fall in love and build the home and family they've always dreamed of, until a painful truth puts their love story to the test."
83. K-Pops!,5.8, (405),1h 54m,"Follows a washed-up musician who jumps at the chance to capitalize on his long-lost son's stardom for his own renaissance, but learns that fatherhood is much more than stardom."
84. IF,6.4, (67K),1h 44m,A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up.
85. Moana 2,6.3, (126K),1h 40m,"After receiving an unexpected call from her wayfinding ancestors, Moana must journey to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced."
86. Bring Them Down,6.4, (6.3K),1h 46m,"An Irish shepherding family thrust into battle on several fronts: internal strife, hostility within the family, rivalry with another farmer. Paternalism, heritage, and the generational trauma cycle through the cultural prism of Ireland."
87. Kingdom of the Planet of the Apes,6.8, (170K),2h 25m,"Many years after the reign of Caesar, a young ape goes on a journey that will lead him to question everything he's been taught about the past and make choices that will define a future for apes and humans alike."
88. Terrifier 3,6.2, (63K),2h 5m,Art the Clown is set to unleash chaos on the unsuspecting residents of Miles County as they peacefully drift off to sleep on Christmas Eve.
89. Damsel,6.1, (120K),1h 50m,"A dutiful damsel agrees to marry a handsome prince, only to find the royal family has recruited her as a sacrifice to repay an ancient debt."
90. The Count of Monte Cristo,7.6, (49K),2h 58m,"After escaping from an island prison where he spent 14 years for being wrongly accused of state treason, Edmond Dantès returns as the count of Monte Cristo to exact revenge on the men who betrayed him."
91. Queer,6.3, (30K),2h 17m,"In 1950s Mexico City, an American immigrant in his late forties leads a solitary life amidst a small American community. However, the arrival of a young student stirs the man into finally establishing a meaningful connection with someone."
92. Immaculate,5.8, (61K),1h 29m,"Cecilia, a woman of devout faith, is warmly welcomed to the picture-perfect Italian countryside where she is offered a new role at an illustrious convent. But it becomes clear to Cecilia that her new home harbors dark and horrifying secrets."
93. Arthur the King,7.0, (39K),1h 47m,An adventure racer adopts a stray dog named Arthur to join him in an epic endurance race.
94. The Apprentice,7.1, (74K),2h 2m,"A young man took over his father's real-estate business in 1970s and '80s New York, and got the helping hand of an infamous closeted gay lawyer who helped him turn this young man into a notorious legend. Based on true events."
95. Exhuma,6.9, (29K),2h 14m,The process of excavating an ominous grave unleashes dreadful consequences buried underneath.
96. Maharaja,8.3, (83K),2h 21m,"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the elusive ""lakshmi"" unfolds."
97. Mufasa: The Lion King,6.6, (83K),1h 58m,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny."
98. Friendship,6.6, (41K),1h 40m,A suburban dad falls hard for his charismatic new neighbor.
